loan_amount,loan_tenure_months,ltv,valuation_diff_pct,num_prev_mortgages,ownership_match_score,ocr_confidence,encumbrance_flag,credit_score,income,isFraud
3103758,119,58.24,-14.39,3,0.45,0.69,1,444,41296,1
4156518,70,95.66,-18.1,0,0.73,0.65,0,665,236288,0
2769995,106,64.21,-15.48,3,0.86,0.96,0,719,164138,0
4550812,22,93.44,-24.45,3,0.4,0.76,0,872,174964,1
4898669,79,78.83,1.92,1,0.72,0.63,0,860,90577,1
1970928,93,63.82,5.49,3,0.78,0.69,0,743,220662,0
4255299,79,55.34,9.39,1,0.82,0.72,0,733,92173,1
2657489,109,64.07,-19.52,1,0.4,0.91,0,854,222365,0
1873415,104,51.65,5.88,3,0.88,0.61,0,356,79771,1
2405413,99,55.24,-1.74,2,0.37,0.79,0,861,173556,0
4010197,33,86.49,17.47,0,0.66,0.76,0,477,92865,0
371836,77,72.0,-14.51,3,0.61,0.99,1,592,114074,0
3684702,55,59.93,19.54,3,0.46,0.67,0,345,173187,1
2195505,17,51.59,4.42,2,0.51,0.85,0,469,172110,1
2399435,53,50.31,6.58,1,0.42,0.68,1,570,51622,0
296769,36,56.72,-38.46,2,0.6,0.82,0,716,50886,1
2758505,68,63.54,-10.16,2,0.32,0.82,0,438,197356,1
1371741,96,56.93,-8.3,1,0.92,0.63,0,546,155973,0
3869315,66,78.54,-37.56,3,0.41,0.78,1,447,71377,1
1146797,27,77.91,-21.27,2,0.92,0.78,0,529,97910,0
3147262,106,60.45,17.34,2,0.9,0.73,0,673,195934,0
1684398,25,53.42,-14.43,3,0.62,0.71,0,379,133992,1
2685031,50,50.77,-28.8,3,0.65,0.69,0,364,178878,0
664685,39,74.55,-9.2,0,0.51,0.6,0,387,163731,0
2979190,107,55.66,-37.97,2,1.0,0.6,0,387,169525,1
1411736,103,54.01,-9.04,0,0.77,0.84,0,503,176570,0
1107293,62,61.61,-4.34,1,0.97,0.72,0,681,216465,0
4874183,60,74.21,-18.54,3,0.59,0.67,0,775,31312,0
3466612,20,61.76,5.75,3,0.92,0.87,1,872,16436,0
123247,69,63.11,-31.86,0,0.61,0.81,0,838,42569,0
2804238,56,62.25,12.69,2,0.91,0.97,0,513,204885,0
2730708,33,61.76,17.33,1,0.39,0.93,0,373,131787,1
3594679,43,54.14,-39.93,2,0.75,0.89,0,360,105485,0
1867640,80,85.46,10.56,2,0.78,0.65,0,842,219301,1
2713740,98,73.14,-9.63,0,0.76,0.87,1,518,192058,0
1385160,80,63.05,-12.32,2,0.61,0.88,0,311,117555,1
1525472,53,77.92,-25.68,0,0.78,0.91,0,714,199249,0
148984,64,50.55,-13.16,3,0.47,0.71,0,331,155377,1
2500070,107,79.17,17.03,3,0.72,0.86,0,459,47646,1
3365879,70,68.04,-27.35,3,0.69,0.85,0,536,238910,0
1604384,85,53.27,-29.26,1,0.52,0.75,0,480,91126,0
2330919,50,92.59,-25.49,1,0.85,0.87,1,857,132922,1
1852126,26,54.92,-6.89,2,0.36,0.63,0,640,55430,0
4430634,82,63.65,15.82,0,0.42,0.86,0,757,137238,1
1837095,40,96.92,-5.57,2,0.63,0.84,0,379,83659,1
2211138,14,52.55,-25.39,3,0.92,0.68,0,772,130341,0
4880450,94,96.23,-13.57,2,0.7,0.93,0,411,19158,0
2209818,21,66.0,-16.58,2,0.89,0.95,0,591,89236,0
2331785,103,95.33,-37.21,2,0.66,0.68,0,682,91067,1
4583302,40,93.35,-9.36,3,0.85,0.63,0,316,173810,1
3048089,90,52.99,-32.44,0,0.53,0.84,0,792,24879,0
2825928,46,56.63,10.53,2,0.87,0.79,0,630,151615,0
3953339,17,83.55,-7.06,3,0.58,0.77,0,785,127284,1
1943400,23,61.71,10.68,1,0.69,0.9,0,705,193996,0
1179111,49,55.72,17.36,0,0.42,0.99,0,416,188420,0
1096107,88,52.92,16.59,3,0.94,0.79,0,854,99117,0
3621441,104,68.11,-33.97,2,0.79,0.6,0,414,182751,1
4645583,30,52.7,16.69,3,0.9,0.84,0,848,225190,0
1970230,78,66.32,7.74,0,0.45,0.86,0,846,58888,1
3847389,19,59.23,6.66,2,0.35,0.93,0,635,45276,0
4242807,19,50.53,-34.59,1,0.54,0.68,0,635,249611,0
4783874,95,80.91,-29.23,1,0.66,0.81,0,446,19799,1
3702279,58,85.58,18.51,1,0.86,0.78,0,421,236699,1
2221690,15,74.51,-27.2,3,0.58,0.87,0,380,239842,0
3091650,62,85.88,-29.86,0,0.49,0.63,1,674,127529,1
591234,96,77.87,-18.26,1,0.56,0.95,1,869,139713,0
2048260,78,57.37,14.8,2,0.79,0.8,0,362,105141,0
4433486,56,67.68,-11.43,2,0.54,0.95,0,803,206630,0
1621101,19,72.73,15.24,2,0.99,0.74,0,748,130013,0
4478368,98,73.06,-19.94,3,0.42,0.86,0,727,182606,0
4508324,27,83.71,-26.41,0,0.83,0.98,0,726,46668,0
3236729,88,69.09,-10.29,0,0.71,0.98,1,720,150183,0
997421,78,61.55,-3.07,1,0.46,0.98,1,621,170758,0
222409,20,87.78,-16.51,0,0.83,0.62,0,465,218623,1
2116716,71,50.69,-19.24,2,0.61,0.76,0,896,87392,0
2450770,89,69.29,-26.92,2,0.78,0.62,0,760,31490,1
869598,88,51.34,-23.5,3,0.76,0.72,0,758,181266,0
3367824,82,88.13,0.39,2,0.38,0.67,0,488,160569,1
3431068,26,56.59,-17.81,0,0.89,0.85,0,763,199588,0
3356415,82,61.82,-35.21,2,0.78,0.91,0,678,132219,0
974371,113,54.94,-31.71,1,0.85,0.81,0,301,234802,1
2932868,109,62.47,-17.66,3,0.61,0.92,0,663,59104,0
3972998,52,50.95,15.47,3,0.44,0.61,0,371,20316,1
1073548,33,61.47,-17.26,0,0.53,0.93,1,726,53130,1
3444014,35,56.03,-36.36,2,0.93,0.67,0,469,216301,1
1313475,112,53.26,-14.92,2,0.96,0.78,0,504,122294,0
3570495,55,58.32,0.13,0,0.64,0.78,0,636,44954,0
3059034,12,65.61,-4.38,0,0.51,0.95,0,771,128437,0
4674293,21,78.57,-23.27,1,0.81,0.99,0,494,167724,0
143585,118,53.92,1.29,0,0.84,0.7,0,574,160250,0
3157213,91,67.54,-2.16,2,0.87,0.63,0,306,197235,0
2639448,83,61.7,-29.67,1,0.32,0.86,0,865,160823,0
209556,67,92.66,-30.27,3,0.31,0.8,1,872,212033,1
1675557,100,66.78,-7.17,2,0.55,0.83,0,898,149116,0
4127419,61,58.89,-0.43,3,0.41,0.62,0,477,78165,0
4494539,23,63.13,17.71,3,0.86,0.91,0,541,157552,0
2223091,100,69.03,-14.68,3,0.67,0.69,0,502,211511,0
2109021,92,81.74,5.9,2,0.88,0.73,0,842,189946,0
1301482,71,76.36,-33.01,3,0.42,0.69,0,761,81775,1
642335,37,58.8,13.38,2,0.74,0.98,0,379,152638,0
3533977,89,81.69,-2.01,3,0.71,0.67,0,822,100311,0
4370070,52,61.66,-2.26,0,0.54,0.89,0,716,248589,0
3660920,47,62.9,-31.45,0,0.66,0.7,0,683,68149,1
2584413,34,50.75,-37.62,2,0.71,0.77,0,690,149078,0
3007360,54,94.27,2.09,3,0.92,1.0,0,425,87561,0
2882592,17,90.24,-32.98,3,0.34,0.64,0,793,165495,1
2335000,80,66.4,-32.38,3,0.88,0.95,0,346,105710,1
4422252,54,65.48,-28.75,0,0.99,0.98,0,775,107199,0
502690,36,96.16,-34.14,3,0.81,0.88,1,763,180024,0
4793350,29,54.77,-2.48,3,0.82,0.6,0,422,42326,0
2648421,73,66.9,-14.68,2,0.45,0.93,0,773,132272,0
4316263,24,74.26,-24.03,3,0.67,0.95,0,433,46139,1
3906618,54,75.82,-13.56,0,0.79,0.99,0,861,208175,0
2054109,89,53.72,10.65,3,0.72,0.94,0,322,206929,1
4522880,39,83.56,15.62,0,0.57,0.78,0,865,88638,1
3212754,29,86.18,-10.75,0,0.96,0.88,0,534,87652,0
1484250,70,82.43,-5.99,1,0.66,0.79,1,358,27937,1
4125717,71,61.54,-24.57,0,0.98,0.74,0,463,45161,0
161087,74,55.22,-9.18,1,0.69,0.85,0,515,150455,0
1596176,68,75.13,4.89,1,0.86,0.91,1,482,100856,0
1986013,103,85.22,-10.47,3,0.82,0.85,0,868,85043,1
4734096,62,82.7,-21.88,1,0.76,0.93,0,389,160807,1
139353,67,61.76,-5.08,2,0.31,0.67,0,610,74919,0
3460011,38,80.25,16.8,0,0.35,0.75,0,856,241321,0
4359622,43,53.27,13.28,2,0.71,0.73,0,556,97055,1
516880,20,90.59,6.15,1,0.94,0.68,0,832,213633,0
913168,115,96.86,-23.43,3,0.72,0.78,1,832,100455,1
325281,107,91.88,-25.51,0,0.47,0.98,0,351,183694,1
3217697,95,54.18,10.31,2,0.52,0.82,0,637,53135,0
3882875,103,60.56,-29.12,3,0.74,0.71,0,470,181730,1
3095765,108,51.08,-3.66,1,0.72,0.74,0,366,99677,0
369536,79,74.83,-13.66,3,0.97,0.85,0,599,44696,0
4472093,57,82.46,-11.92,2,0.67,0.74,0,531,149845,0
1661729,109,64.02,-12.73,3,0.55,0.82,0,367,39956,1
2322809,78,65.03,14.0,2,0.67,0.71,0,805,30819,0
781669,37,62.85,-34.77,3,0.85,0.74,0,327,16528,0
3964822,19,74.21,6.97,0,0.68,0.88,0,350,142781,0
1219043,17,99.41,10.1,3,0.53,0.83,1,559,101491,1
3429462,91,96.62,16.57,0,0.54,0.64,0,890,59588,1
2306903,35,60.1,-12.84,2,0.83,0.99,1,885,216657,0
1841093,59,65.65,-10.0,0,0.35,0.62,0,483,114152,1
2658231,114,54.91,17.68,3,0.49,0.63,1,322,142872,1
4400385,105,76.9,-12.49,0,0.41,0.88,0,428,166583,1
3180389,56,55.08,-9.79,2,0.96,0.88,0,590,25119,0
1761909,24,70.15,-20.06,3,0.36,0.61,0,800,90893,0
2756138,80,91.18,-38.1,0,0.83,0.86,0,485,31167,1
210078,36,50.56,-14.02,0,0.74,0.61,0,778,202575,0
2015631,31,66.14,-0.69,1,0.74,0.98,0,870,125782,0
1504104,93,61.37,1.4,0,0.83,0.88,0,791,233861,0
2108187,93,59.85,-39.61,1,0.58,0.67,0,812,145775,1
1759066,77,73.4,8.06,2,0.58,0.66,0,366,49889,1
4273125,85,57.22,-10.46,1,0.5,0.83,0,766,60678,1
2248815,56,53.47,-8.76,2,0.72,0.85,1,584,241406,0
4124066,58,72.09,17.7,0,0.95,0.93,0,716,75262,0
4606259,74,60.35,-22.93,0,0.95,0.96,0,399,150753,1
4235314,87,56.91,5.7,1,0.79,0.76,0,488,95291,1
1010681,88,84.02,-5.51,2,0.93,0.94,0,687,81008,0
1707618,66,75.04,2.05,0,0.97,0.82,0,540,244489,0
3996830,86,90.19,-14.93,1,0.86,0.79,0,716,159762,1
4436787,30,62.41,-23.25,1,0.59,0.88,0,475,40912,0
2855423,46,55.53,-7.23,1,0.64,0.64,1,686,21473,0
2133350,114,62.08,-17.5,0,0.95,0.71,1,770,187370,1
2411987,64,84.76,-26.63,2,0.77,0.93,1,532,164741,1
4696200,37,64.67,10.35,0,0.87,0.8,0,751,114500,0
4771399,25,54.5,-11.45,3,0.38,0.96,0,576,228070,0
171295,56,76.76,10.84,3,0.44,0.64,0,528,167015,0
843974,55,54.57,-11.56,0,0.54,0.73,0,470,53785,1
3545376,99,56.03,-6.59,2,0.43,0.74,0,512,115956,1
3712600,116,97.87,19.72,1,0.93,0.77,0,581,209499,0
925816,76,80.68,17.09,3,0.45,0.99,0,340,208073,1
474705,62,64.81,-23.7,3,0.69,0.72,0,421,207796,1
3817270,54,58.22,12.12,0,0.36,0.81,0,526,134006,0
1956926,97,53.18,-16.58,3,0.41,0.81,0,593,25832,0
1758845,34,60.94,-35.73,3,0.47,0.91,0,899,151457,1
2126793,67,72.45,-5.45,1,0.99,0.81,1,566,241970,1
654594,30,84.41,18.62,1,0.86,0.84,0,840,160780,0
247718,93,56.82,18.46,2,0.77,0.9,0,750,204672,0
4939567,87,82.87,-32.41,3,0.94,0.64,0,748,169510,0
3604473,66,58.98,6.27,2,0.97,0.99,0,360,97747,0
2304664,103,84.66,8.17,2,0.62,0.94,0,801,95107,0
4441747,103,91.65,-17.88,1,0.53,0.76,0,446,206134,0
1619163,71,79.93,-0.48,1,0.52,0.89,0,633,80428,0
4667920,70,77.83,-10.71,0,0.33,0.9,0,441,101843,1
786976,44,60.71,-26.33,1,0.5,0.94,0,343,26002,1
2572189,30,86.14,5.68,2,0.55,0.68,1,443,182225,1
3241259,39,51.81,-24.23,3,0.33,0.88,0,632,168512,0
217796,63,64.34,-19.57,2,0.92,0.61,0,796,82501,0
1341082,60,67.07,-28.6,2,0.89,0.65,0,695,47556,0
4992680,48,69.7,3.16,2,0.48,0.91,0,354,82963,0
4992306,37,63.83,-12.48,1,0.86,0.93,0,606,247217,0
4214639,110,97.8,-13.4,2,0.86,0.84,0,722,236797,0
2788130,109,50.25,-3.73,0,0.53,0.83,1,716,236746,0
3774515,110,64.2,-30.56,3,0.79,0.9,0,624,21563,0
1679159,51,96.6,13.89,1,0.5,0.96,0,379,225995,1
1007317,91,62.89,-12.09,2,0.35,0.77,1,330,20840,1
2585367,49,69.59,-18.01,0,0.65,0.65,0,411,30154,1
4615488,88,97.65,-32.4,3,0.61,0.94,0,857,39194,0
768234,98,51.96,-29.92,2,0.4,0.74,0,863,211092,1
478480,65,98.95,15.22,3,0.64,0.65,0,771,192933,1
891971,33,63.38,-12.6,1,0.96,0.85,1,373,168520,0
601157,27,50.97,3.33,1,0.81,0.83,0,852,242532,0
4478727,39,80.8,-35.17,0,0.82,0.79,0,778,38528,0
4224499,46,79.73,-1.39,1,0.83,0.94,0,888,175474,0
2713501,71,99.96,15.29,0,0.82,0.71,0,686,19352,1
3021944,56,93.78,-22.0,2,0.31,0.61,0,863,15184,1
4427576,57,95.7,-5.25,3,0.95,0.73,1,732,156456,1
3183153,83,54.86,16.41,1,0.88,0.6,0,711,29319,0
2899487,119,54.44,3.16,3,0.49,0.82,0,766,135497,0
3004941,66,57.91,-36.26,3,0.69,0.75,0,898,166521,0
2200021,97,73.92,-17.28,2,0.73,0.93,0,547,71333,0
1460828,96,54.91,-34.85,2,0.39,0.92,1,880,56205,1
718467,37,64.94,11.68,1,0.48,0.77,0,419,25426,0
2235619,115,76.67,-2.7,2,0.32,0.69,0,366,22504,1
4055488,96,69.58,17.38,3,0.9,0.77,0,872,202650,0
4774351,36,93.83,-38.81,0,0.32,0.86,0,626,204281,0
1807923,116,51.42,-14.61,0,0.52,0.68,0,769,131775,1
228391,76,61.76,-33.74,0,0.35,0.91,0,792,48368,1
1117026,17,57.76,-18.97,1,0.85,0.73,0,585,118841,1
4401754,34,59.65,-30.29,2,0.95,0.97,0,611,198257,0
2369042,75,59.96,-20.27,2,0.69,0.8,0,608,243702,0
2083509,98,98.3,9.16,2,0.4,0.94,1,396,131744,1
216381,54,65.56,-30.36,2,0.69,0.85,1,412,226293,1
1621701,118,54.89,-11.58,3,0.84,0.82,0,755,23724,0
1720197,34,95.74,15.29,0,0.8,0.87,0,762,151156,0
2331660,107,51.12,19.93,3,0.82,0.92,0,431,180882,0
1878226,41,70.22,-24.96,1,0.5,0.86,0,420,228349,0
1299386,88,77.53,16.13,0,0.35,0.92,0,496,97297,1
3538618,118,65.28,-24.32,0,0.4,0.68,1,781,140099,1
2114484,29,55.52,-15.19,3,0.97,0.71,0,338,93872,1
3037629,98,67.81,12.68,1,0.73,0.69,0,865,166944,0
2557184,90,60.79,7.17,1,0.81,0.92,0,811,225022,0
3243963,108,66.67,11.45,0,0.93,0.63,0,773,85333,0
4203022,32,61.3,8.02,2,0.9,0.92,0,460,214915,0
1518175,68,87.87,-25.9,1,0.45,0.76,1,588,244176,1
3906688,114,96.28,-6.47,3,0.34,0.63,0,499,17596,1
3872962,34,87.96,-16.88,1,0.95,0.77,0,827,32167,0
4291423,102,77.77,-12.42,0,0.99,0.72,0,802,102844,0
4141776,56,79.79,-30.76,2,0.7,0.84,0,547,104751,0
2827423,55,61.91,-21.05,1,0.92,0.79,0,682,144817,0
1860427,93,68.69,11.46,0,0.46,0.72,0,517,223403,0
4418427,99,96.26,13.85,1,0.38,0.94,0,386,95520,1
3551356,58,96.63,-3.39,2,0.65,0.76,0,381,73326,0
1231565,51,91.69,-10.1,3,0.87,0.79,0,361,92670,0
3544084,62,73.91,2.77,0,0.76,0.94,1,799,156854,0
3027109,53,99.39,-3.47,0,0.75,0.64,0,341,188074,1
4472578,18,66.93,19.02,2,0.31,0.76,1,311,233259,1
2609079,61,73.49,-28.59,0,0.52,0.76,0,414,39022,1
2987004,59,64.29,-13.06,2,0.96,0.8,0,517,99458,0
2031760,95,58.11,15.09,0,0.39,0.64,0,405,160690,0
231373,102,79.94,14.88,2,0.81,0.64,0,827,163317,0
215294,17,86.42,-10.28,1,0.83,0.77,0,771,98796,0
3232514,102,78.24,-31.91,1,0.81,0.61,0,686,156099,0
4942611,20,99.82,8.9,1,0.99,0.7,0,525,160058,0
4435868,68,89.28,-4.89,0,0.59,0.68,0,780,125704,1
1526388,42,57.12,6.39,2,0.78,0.8,0,707,149598,0
3951424,32,81.78,-12.25,2,0.44,0.6,0,756,237869,0
2315167,101,50.14,-27.77,3,0.58,0.87,0,320,59361,1
3986402,51,85.63,-38.56,1,0.64,0.94,0,502,213230,0
789944,56,55.9,-6.45,3,0.45,0.88,0,716,53286,0
788105,88,58.65,-30.34,1,0.93,0.93,0,715,44533,0
2710910,60,75.64,-28.77,3,0.8,0.86,0,747,247033,0
2089173,98,75.15,-13.82,1,0.5,0.8,0,811,164388,1
3180761,31,63.96,-13.48,2,0.39,0.69,0,384,154771,0
1514466,112,53.98,-23.54,1,0.5,0.71,0,466,225563,0
545101,103,72.14,-32.08,0,0.74,0.73,0,683,142441,0
1205534,28,94.23,16.7,1,0.88,0.62,0,767,112079,0
3327802,39,72.76,-32.1,1,0.65,0.97,0,371,115960,1
1683593,52,82.83,-18.95,2,0.37,0.96,0,820,73465,0
1903649,77,51.57,-21.71,0,0.47,0.64,0,772,162745,0
1324665,36,58.92,11.98,2,0.54,0.82,1,557,38395,1
2394544,69,95.16,-15.4,3,0.75,0.79,1,574,119162,1
4453127,52,77.34,-32.56,3,0.47,0.87,0,319,145704,1
598863,17,95.22,-39.38,0,0.46,0.84,0,789,169779,1
467654,86,54.64,3.32,3,0.5,0.65,0,789,230821,0
2776188,49,52.46,2.87,0,0.71,0.86,0,625,90937,0
3395990,17,89.91,-14.93,1,0.64,0.84,0,828,144647,0
1592785,56,69.43,-32.42,3,0.89,0.81,0,388,135650,0
897079,86,51.76,-17.7,1,0.79,0.76,0,785,145744,0
4958380,25,87.32,-4.61,2,0.77,0.98,0,649,232804,0
4142787,77,77.41,2.24,3,0.41,0.94,1,383,202488,1
4028083,51,76.67,-35.31,2,0.34,0.83,0,686,106512,1
2799015,14,97.08,-6.62,2,0.66,0.6,0,386,154830,0
3514527,110,96.5,-23.43,0,0.35,0.77,0,606,82009,1
1386125,108,51.21,-2.96,2,0.55,0.88,0,453,159353,0
3840047,35,63.65,-1.11,0,0.32,0.65,0,739,47548,0
548982,30,76.53,14.64,0,0.42,0.76,1,563,33371,0
1272622,29,72.53,-15.38,0,0.38,0.68,0,720,239971,0
2603771,75,58.31,-7.74,0,0.86,0.74,0,792,223665,0
3277825,99,73.18,-23.91,0,0.54,0.61,0,710,120977,1
1096161,46,81.45,-22.81,1,0.36,0.65,0,472,165716,1
4283839,73,90.76,-37.24,0,0.49,0.78,0,303,239731,1
766326,12,57.84,-22.84,3,0.78,0.96,0,771,169946,0
749150,111,84.71,-36.17,0,0.82,0.8,1,409,234731,1
3475957,36,93.49,17.83,1,0.38,0.78,0,336,29281,1
218834,56,70.08,-2.54,3,0.84,0.92,0,882,214859,0
3339576,60,96.19,-29.61,3,0.56,0.71,0,330,168361,1
3298649,118,50.89,-32.99,1,0.78,0.64,0,680,151126,0
4579125,109,61.45,-17.79,3,0.77,0.68,0,567,115020,0
4349913,100,86.75,-21.54,1,0.86,0.92,0,310,122508,0
4522201,27,85.29,-23.24,2,0.79,0.87,0,643,81846,1
1179600,109,63.7,-11.91,2,0.33,0.64,0,843,109682,1
1125715,104,73.72,14.77,0,0.66,0.87,0,868,195841,0
1538533,30,56.36,-5.92,0,0.42,0.97,0,465,44312,0
2381230,34,64.69,-8.73,0,0.98,0.62,0,641,242589,0
3603157,94,69.77,8.39,0,0.48,0.85,0,781,129186,0
561243,36,50.94,-39.76,1,0.59,0.75,0,318,19257,1
2158852,27,71.9,-28.16,2,0.44,0.8,0,483,161918,0
3359360,65,71.4,-10.23,1,0.39,0.81,0,844,168555,0
2085588,84,60.03,2.32,3,0.72,0.91,0,309,41558,0
351451,12,55.26,-10.9,3,0.65,0.82,0,891,58188,0
4297355,53,61.49,-30.18,3,0.56,0.84,1,491,159084,0
1852683,30,58.87,15.8,3,0.36,0.73,0,619,48236,0
1104646,108,72.84,-20.28,3,0.82,0.65,0,879,60076,1
1071525,45,67.59,7.29,2,0.3,0.87,0,774,63402,0
3967500,91,83.54,13.48,1,0.62,0.6,0,726,109467,0
4483711,119,59.52,-19.21,3,0.74,0.73,0,358,178148,1
549395,115,81.87,10.72,0,0.6,0.69,0,735,95337,0
1360386,66,99.87,2.65,2,0.39,0.76,0,396,130827,1
3154390,29,51.71,14.26,0,0.84,0.72,0,795,221236,0
3479569,45,76.57,-24.92,2,0.53,0.88,0,577,89264,0
3000603,100,83.57,15.88,2,0.39,0.7,0,564,32335,0
3067197,56,78.86,-36.08,0,0.69,0.82,0,308,58773,1
322866,17,75.16,7.62,0,0.31,0.78,1,756,198230,1
1235248,32,67.82,-13.86,3,0.53,0.92,0,572,43570,0
1746711,81,93.51,-29.33,0,0.83,0.77,0,307,102995,1
1523286,107,95.0,-35.24,1,0.94,0.95,1,507,55658,1
3795961,116,77.34,-16.63,2,0.71,0.6,0,422,205256,0
3277945,59,77.17,-16.64,2,0.45,0.84,0,332,135640,1
3513821,118,89.47,-26.2,3,0.45,0.6,0,812,87613,1
283062,50,71.18,-27.07,2,0.72,0.89,0,503,73194,0
2591518,42,77.88,-16.03,0,0.58,0.69,0,817,213579,0
2941992,117,97.46,-15.39,2,0.42,0.75,0,816,126872,0
4394539,21,53.03,-13.46,2,0.85,0.75,0,742,180031,0
3320468,41,53.02,12.13,0,0.44,0.94,0,891,199144,0
903328,29,82.7,-3.32,0,0.53,0.64,0,638,191660,0
4162958,71,85.99,-38.77,2,0.34,0.87,0,737,186605,1
1143233,99,64.63,-8.85,1,0.79,0.99,0,744,123558,0
1811741,84,61.32,5.75,0,0.49,0.61,1,435,83582,1
629525,106,51.08,-36.62,1,0.46,0.99,0,686,207815,0
276615,26,72.6,-14.64,1,0.51,0.61,0,324,190590,1
4481932,15,61.8,-12.93,3,0.91,0.94,0,805,158775,0
2835988,74,53.24,17.24,1,0.66,0.98,0,624,64456,0
4701020,51,68.97,-11.46,3,0.41,1.0,0,637,70491,0
3799391,20,89.1,4.99,1,0.84,0.78,0,394,23043,1
641252,20,72.6,-21.83,3,0.45,0.95,0,844,118212,0
1786293,37,87.98,6.76,0,0.59,0.65,1,445,83340,1
3712610,15,98.36,-20.64,2,0.7,0.77,0,530,156248,1
2264367,92,57.09,-14.2,2,0.71,0.72,0,794,150008,0
2004050,27,80.75,-11.23,3,0.35,0.76,1,337,46174,1
244356,26,99.8,15.58,0,0.89,0.88,1,724,97632,0
4498165,110,53.41,-36.79,3,0.64,0.63,0,736,103768,0
3199320,63,69.26,-28.19,3,0.99,1.0,1,667,140775,0
455612,80,80.72,2.34,0,0.8,0.85,0,644,123177,0
3700333,16,79.19,-5.35,1,0.99,0.95,0,459,40909,1
109435,31,80.61,-24.91,1,0.62,0.93,0,849,59158,0
4741860,90,83.71,-22.65,0,0.4,0.91,0,840,154438,0
1848014,29,54.31,-17.96,3,0.81,0.62,0,443,231197,0
3821309,13,85.45,-12.98,2,0.84,0.81,0,887,200409,0
4373085,104,64.03,9.08,3,0.9,0.73,0,875,139296,0
2388627,24,92.82,-39.17,1,0.51,0.65,0,644,74331,1
864121,15,51.29,13.88,0,0.66,0.74,1,568,208269,0
1269748,53,62.37,-15.22,0,0.9,0.86,0,567,218114,0
3602630,85,52.54,-26.17,0,0.91,0.69,0,468,196996,0
2682115,72,71.54,-9.5,1,0.32,0.78,0,332,174914,0
1207677,106,55.23,-0.42,3,0.77,0.76,0,676,163530,0
388790,116,53.95,-37.31,0,0.72,0.62,0,513,102367,0
2744489,19,58.72,2.95,2,0.36,0.85,0,861,80382,0
